repositório,url,arquivo,file_exists,clone_error,k6-performance/no-heavy-init-context,k6-performance/no-heavy-init-context_loc,k6-performance/require-check,k6-performance/require-check_loc,k6-performance/require-tags,k6-performance/require-tags_loc,k6-performance/require-thresholds,k6-performance/require-thresholds_loc
mateusoliveiraps/k6_estudos,https://github.com/mateusoliveiraps/k6_estudos,k6-load.js,yes,,0,,0,,8,44:21; 62:23; 86:24; 103:25; 130:23; 149:27; 166:32; 229:27,1,15:14
mateusoliveiraps/k6_estudos,https://github.com/mateusoliveiraps/k6_estudos,k6-smoke.js,yes,,0,,0,,8,45:21; 63:23; 87:24; 104:25; 131:23; 150:27; 167:32; 230:27,0,
siweh/LumaWebAppTesting,https://github.com/siweh/LumaWebAppTesting,script.js,yes,,0,,1,22:1,0,,1,4:14
kritozemu/cblog,https://github.com/kritozemu/cblog,k6/k6.js,yes,,0,,0,,0,,1,5:12
frevar1975/Clases,https://github.com/frevar1975/Clases,UGRM/Docker-feb-2025/coleccionDockerfiles/bash-tools/templates/k6.js,yes,,0,,1,49:1,0,,1,22:14
frevar1975/Clases,https://github.com/frevar1975/Clases,UGRM/Docker-feb-2025/coleccionDockerfiles/bash-tools/templates/ansible-templates/bash-tools/templates/k6.js,yes,,0,,1,49:1,0,,1,22:14
nandanugg/HaloSusterTestCasesPSW3B2,https://github.com/nandanugg/HaloSusterTestCasesPSW3B2,script.js,yes,,0,,0,,0,,1,55:14
marinagiaquinto/k6,https://github.com/marinagiaquinto/k6,modulo_5/aula_35.js,yes,,0,,0,,0,,0,
msouza009/curso-k6,https://github.com/msouza009/curso-k6,conteudo_adicional/aula03.js,yes,,0,,0,,0,,0,
rxtcp/dissertation-on-measuring-system-performance-indicators,https://github.com/rxtcp/dissertation-on-measuring-system-performance-indicators,script.js,yes,,0,,0,,10,146:26; 159:24; 168:26; 172:25; 175:23; 178:25; 181:26; 186:23; 191:25; 196:25,1,5:14
hsiungc/ml_api,https://github.com/hsiungc/ml_api,load.js,yes,,0,,0,,2,46:21; 52:25,0,
jhsmith22/w255-finalproject,https://github.com/jhsmith22/w255-finalproject,labs/final_project/load.js,yes,,0,,0,,2,46:21; 52:25,0,
vhr1975/datasciw255,https://github.com/vhr1975/datasciw255,final_project/project/load.js,yes,,0,,0,,2,46:21; 52:25,0,
hakimamarullah/transaction-service-sp,https://github.com/hakimamarullah/transaction-service-sp,kubernetes/script.js,yes,,0,,0,,0,,0,
dina2203/rkJava,https://github.com/dina2203/rkJava,lab2_endterm/mvc.js,yes,,0,,1,9:1,0,,1,4:14
Oniqq60/project,https://github.com/Oniqq60/project,k6.js,yes,,1,24:17,0,,0,,1,8:14
SaifAutomatron/k6,https://github.com/SaifAutomatron/k6,fundamentals/groups_tags.js,yes,,0,,0,,4,15:19; 19:13; 20:13; 26:9,0,
SaifAutomatron/k6,https://github.com/SaifAutomatron/k6,fundamentals/custom-metrics-example.js,yes,,0,,1,18:1,2,19:15; 23:11,0,
SaifAutomatron/k6,https://github.com/SaifAutomatron/k6,fundamentals/random-sleep.js,yes,,0,,1,10:1,0,,1,5:14
trangle-sioux/k6-performance,https://github.com/trangle-sioux/k6-performance,tests/section3/group/groups.js,yes,,0,,0,,4,15:19; 19:13; 20:13; 26:9,0,
trangle-sioux/k6-performance,https://github.com/trangle-sioux/k6-performance,tests/section5/random-sleep.js,yes,,0,,1,10:1,0,,1,5:14
ardatan/feTS,https://github.com/ardatan/feTS,benchmark/k6.js,yes,,0,,0,,0,,0,
supabase/benchmarks,https://github.com/supabase/benchmarks,examples/supavisor/single-insert/k6/load.js,yes,,0,,0,,0,,1,36:14
supabase/benchmarks,https://github.com/supabase/benchmarks,examples/dashboard/e2e/k6/loader.js,yes,,0,,0,,0,,1,29:14
supabase/benchmarks,https://github.com/supabase/benchmarks,examples/supavisor/simple-select/k6/load.js,yes,,1,45:29,0,,0,,1,35:14
supercheck-io/supercheck,https://github.com/supercheck-io/supercheck,app/src/lib/k6-validator.ts,yes,,0,,0,,0,,0,
saiya/dsps,https://github.com/saiya/dsps,loadtest/loadtest.k6.js,yes,,0,,0,,0,,0,
narender-kumar-asurion/search-poc,https://github.com/narender-kumar-asurion/search-poc,scripts/bench/k6-search-smoke.js,yes,,0,,0,,2,59:16; 61:16,0,
Interstellarss/faas-share-test,https://github.com/Interstellarss/faas-share-test,profiling/k6-tmp.js,yes,,1,108:17,5,125:17; 129:17; 133:17; 137:17; 141:17,0,,0,
tphummel/CaNFlySLO,https://github.com/tphummel/CaNFlySLO,k6/local-smoke.js,yes,,0,,0,,2,13:19; 18:22,0,
rancher/dartboard,https://github.com/rancher/dartboard,k6/vai/load_steve_new_pagination.js,yes,,0,,0,,3,41:17; 52:12; 66:21,0,
zitadel/zitadel,https://github.com/zitadel/zitadel,benchmark/src/user.ts,yes,,0,,0,,0,,0,
sehyeogg365/hhplus_ecommerce,https://github.com/sehyeogg365/hhplus_ecommerce,src/main/resources/k6/script.js,yes,,0,,1,4:5,5,69:15; 71:15; 73:15; 75:15; 78:7,1,9:18
aubronsamuel-hash/a,https://github.com/aubronsamuel-hash/a,scripts/k6/smoke.js,yes,,0,,0,,0,,0,
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,user_s1/getUsername_compatibility.js,yes,,0,,0,,0,,1,4:12
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,pet_s3/deletePetId_maintainability.js,yes,,0,,0,,2,36:15; 65:5,1,5:12
IceScout26/swagger-petstore-sqa,https://github.com/IceScout26/swagger-petstore-sqa,pet_s3/putPet_maintainability.js,yes,,0,,0,,2,54:15; 82:5,1,5:12
nadiaalnd/Performance-Test-Adamlabs-Demo,https://github.com/nadiaalnd/Performance-Test-Adamlabs-Demo,scripts/patient/GetAllPatient.js,yes,,0,,0,,2,16:16; 20:9,0,
